2007-02-24 18:54:07.7812|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061128-230508.log
2007-02-24 18:54:07.7968|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:07.7968|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:07.7968|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:07.7968|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:10.6718|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:54:10.6718|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061130-064114.log
2007-02-24 18:54:10.6875|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:10.7031|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:10.7031|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:10.7031|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:13.4218|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:54:13.4375|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061130-222441.log
2007-02-24 18:54:13.4531|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:13.4531|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:13.4531|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:13.4687|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:16.7187|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:54:16.7500|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061203-225811.log
2007-02-24 18:54:16.7812|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:16.7968|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:16.7968|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:16.7968|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:19.6406|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:54:19.6718|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061205-015600.log
2007-02-24 18:54:19.6875|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:19.7031|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:19.7031|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:19.7031|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:22.4375|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:54:22.4531|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061205-221302.log
2007-02-24 18:54:22.4687|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:22.4687|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:22.4687|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:22.4843|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:25.0000|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:54:25.0156|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061206-231236.log
2007-02-24 18:54:25.0312|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:25.0468|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:25.0468|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:25.0468|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:27.2187|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:54:27.2500|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061208-062827.log
2007-02-24 18:54:27.2656|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:54:27.2812|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:54:27.2812|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:54:27.2812|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:54:30.3906|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
